"","item","SD.politics.activity","SD.probability.conservative","number.of.users","politics.activity","probability.conservative"
"1","cnsnews.com",0.178242992620796,0.143182327165839,91,0.485584715074472,0.720674182030137
"2","thegatewaypundit.com",0.164007412998298,0.166253037788126,436,0.490541728028197,0.724157054319478
"3","breitbart.com",0.172778661257765,0.184285383302517,676,0.466541532930078,0.689382937797411
"4","conservativetribune.com",0.154373384695377,0.0805700435615412,149,0.508285218841139,0.773626500463019
"5","conservativefighters.com",0.146993099712143,0.115613172868868,121,0.507094179014823,0.767980948079657
"6","truthfeed.com",0.136191359905246,0.1320442714558,62,0.510229913515866,0.759811279773959
"7","insider.foxnews.com",0.195521772419106,0.19855507682621,432,0.438330263632569,0.649212355935835
"8","dailycaller.com",0.17862243850246,0.184748831108173,469,0.45653250237959,0.675668188283995
"9","pjmedia.com",0.18251527614696,0.145307437188341,158,0.470054130628552,0.724097539772432
"10","redstate.com",0.182393993040193,0.206565783747527,101,0.467159709172968,0.632749308154949
"11","truepundit.com",0.157492923920246,0.112765079607713,266,0.507276046346766,0.765404946085379
"12","circa.com",0.149275424827156,0.16271954614575,70,0.495882473913211,0.715726258309139
"13","washingtontimes.com",0.163707145018971,0.189301247512274,286,0.47565755781343,0.68340219598821
"14","twitchy.com",0.169306325376445,0.157070397303942,142,0.461490248067123,0.709300178765467
"15","video.foxnews.com",0.163269530389236,0.188023713876425,114,0.490670876394905,0.687273840353532
"16","theblaze.com",0.173543913141201,0.172041940340306,192,0.454104043509137,0.697502338019007
"17","townhall.com",0.173041186065945,0.155206708163816,267,0.468288007298077,0.710250727477933
"18","therightscoop.com",0.158955305186702,0.182035973503328,64,0.4853283304147,0.711970390518198
"19","petitions.whitehouse.gov",0.169748810261198,0.217057755906577,98,0.476917688191587,0.676519976872369
"20","zerohedge.com",0.185998123753835,0.157060181902769,245,0.452725056270595,0.698211693901743
"21","ijr.com",0.181075771501776,0.245806397475392,181,0.471661096058522,0.602979310508042
"22","thesun.co.uk",0.204685852439431,0.17382495726172,124,0.407004392327214,0.646479612444112
"23","constitution.com",0.16201259603709,0.0730701504839948,51,0.533054385032655,0.790120867164495
"24","pamelageller.com",0.16616207903698,0.100088151290455,100,0.454160379425539,0.751614061077789
"25","freebeacon.com",0.180043241549695,0.177697740387667,236,0.455219706341425,0.678621554023793
"26","lifezette.com",0.161364566239023,0.12972782527947,117,0.501066908864238,0.740305803188116
"27","frontpagemag.com",0.158113573864508,0.0795484566962467,66,0.484591010608598,0.757346239501765
"28","foxbusiness.com",0.193729194449194,0.194678625144326,136,0.459502949611396,0.665174305309417
"29","lifenews.com",0.199860438776807,0.15476167256559,78,0.383271533362213,0.686418616188318
"30","dailysignal.com",0.17702988864079,0.175998462641935,98,0.461356028013314,0.686074348155817
"31","waynedupree.com",0.160838052745086,0.100531262703948,152,0.509106558151653,0.779773323608543
"32","teaparty.org",0.141440887116302,0.0958679898481867,63,0.516969748092536,0.780778946444001
"33","judicialwatch.org",0.171319901134331,0.119993122384155,176,0.500178788440686,0.744494044277005
"34","newsbusters.org",0.162413184709242,0.156255537776237,127,0.496110732406224,0.717774061534788
"35","bizpacreview.com",0.164035557345086,0.0908277889942907,150,0.496560807739737,0.772383470838482
"36","weeklystandard.com",0.183872277042735,0.193100339991095,87,0.425225827758727,0.608530367490087
"37","100percentfedup.com",0.159909353517939,0.0877897420117928,138,0.518290360457315,0.778859431736915
"38","conservativereview.com",0.146596207597934,0.127747428365507,91,0.510517384623375,0.74168497006578
"39","americanthinker.com",0.144799208707736,0.118144916568532,81,0.508859771484934,0.757981935345797
"40","dailywire.com",0.179693704503498,0.141035326547949,306,0.453214265389891,0.716022997876598
"41","worldtoday365.info",0.156199388478377,0.0970362192443891,51,0.517705347467431,0.788279731330944
"42","sputniknews.com",0.151346146691409,0.208263157985243,63,0.420478348191916,0.607200290036892
"43","westernjournalism.com",0.157156971913314,0.101346727812201,111,0.506924770756143,0.7535391923375
"44","m.washingtontimes.com",0.147466131262991,0.177426819376054,56,0.50262781310344,0.717355393947436
"45","campusreform.org",0.179454294726572,0.113779052212248,64,0.411370945298818,0.710844199247541
"46","freedomdaily.com",0.164898223920523,0.0822403805832069,81,0.482855460743047,0.772501478860033
"47","hannity.com",0.177863116828428,0.16798734090933,63,0.503695288209526,0.736735493624214
"48","newsmax.com",0.165426932405914,0.18536040754957,104,0.515710183348122,0.711582274230168
"49","gotnews.com",0.158491051520779,0.112783064797385,103,0.507984220182122,0.762138037077989
"50","infowars.com",0.170544746392046,0.175566392469194,211,0.452727164404207,0.701220066728584
"51","hotair.com",0.189463510010021,0.19508752618405,92,0.454263538818378,0.64892838118135
"52","bluntforcetruth.com",0.166355334717178,0.137477175566195,143,0.499695361457092,0.748293855418332
"53","express.co.uk",0.19082381913831,0.211664055881051,114,0.404203390451798,0.616005938913486
"54","archive.is",0.161106712286076,0.217654969211552,57,0.441657370294008,0.616715976500918
"55","louderwithcrowder.com",0.186386501725899,0.112092787526002,60,0.396565969556386,0.723326307816973
"56","wnd.com",0.157271394748185,0.121534682123056,72,0.484752336565615,0.733138499915812
"57","wikileaks.org",0.177787262567837,0.143916606609364,56,0.488742966274373,0.723957542947492
"58","yournewswire.com",0.16473578481872,0.14125923813947,120,0.50587369760078,0.741967830881848
"59","realclearpolitics.com",0.170338189700483,0.213873977939411,83,0.485346557541266,0.636515703065424
"60","oann.com",0.153998723426626,0.0940719231217626,53,0.519769459048456,0.776135174046484
"61","truthfeednews.com",0.146023800501369,0.109991070329987,257,0.521139447749619,0.77858424533592
"62","offendedamerica.com",0.170897915130388,0.156274796009545,73,0.497439289949636,0.748311880661012
